X,Y,OBJECTID_1,OBJECTID,COD_SIG,MORADA,DESIGNACAO,ANO,ESTADO,TIPOLOGIA,ID_TIPO,GlobalID,Shape__Area,Shape__Length
-9.20765529016954,38.7067295119275,1,7,400620,"Jardim Pulido Garcia(antigo Impasse à Avenida da Ilha da Madeira), Jardim Pulido Garcia",Jardim Pulido Garcia,0, , ,5,cc63b4e5-901e-4f07-9801-295fc27d37cd,2793.5048828125,229.277260066948
-9.1659581683106,38.7600692104822,2,8,1807308100,"Rua Professor Francisco Gentil(antiga Rua 7 da Zona de Telheiras), Jardim Professor Francisco Caldeira Cabral",Jardim Professor Francisco Caldeira Cabral,0, , ,5,f0b6303b-fa1e-43e4-880c-c6f27dbac470,16934.5883789063,1433.80304232112
-9.16154872936366,38.7801640712816,3,9,0501102002,"Alameda António Sérgio(antigo Impasse 1 e 2 da Quinta de Santa Clara), Jardim de Santa Clara",Jardim de Santa Clara - Quinta de Santa Clara,2013,requalificado,Espaços Verdes Vizinhança,5,9baf505a-e336-4c5f-bdd0-9dbcef731b46,24805.5122070313,677.338049158171
-9.17125510914414,38.7453752933557,4,10,3905410102,"Praça Marechal Humberto Delgado(antiga Praça General Humberto Delgado), Jardim Zoológico",Jardim Zoológico,0, , ,5,9bc770ac-1078-4418-9e57-0ed559d76d6c,384966.686523438,3851.58053023633
-9.10803665140334,38.7732095198589,5,14,331090,"Avenida Dr. Francisco Luís Gomes, Viveiro da Quinta Conde Arcos",Viveiro da Quinta Conde Arcos,2014,novo,Espaços Verdes Urbanos,5,4314788d-60f3-4f92-a9f1-018c4eefff64,151007.680664063,1940.80715101322
-9.17851177326364,38.7562341473271,6,15,390640,"Rua Inocêncio Francisco da Silva, Jardim da Rua Inocêncio Francisco da Silva",Jardim da Rua Inocêncio Francisco da Silva,0, , ,5,8a966148-c810-407e-a016-c66da630f2ab,6826.53173828125,398.358042259766
-9.14001212496906,38.7213151363932,7,16,2401402001,"Campo dos Mártires da Pátria, Jardim Braamcamp Freire",Jardim Braamcamp Freire - Jardim do Campo Santana,0, , ,5,6bbce42c-4c8f-473e-b8fa-83733b9ed9d1,33071.763671875,1308.49234186061
-9.13211435332207,38.7498501986817,8,17,420090,"Rua Francisco Lourenço da Fonseca, Miradouro Eduardo Noronha",Miradouro Eduardo Noronha,0, , ,5,318ac37c-d0f7-4589-b42d-bf324da64e0b,1885.98583984375,171.063591373194
-9.14309259194446,38.7378248230032,9,18,230130,"Avenida de António José de Almeida, Jardim Gomes de Amorim",Jardim Gomes de Amorim - Casa da moeda,0, , ,5,1ef6f96d-845e-46b0-8b96-faef67ee82f3,4267.2685546875,377.788871716375
-9.19531686715639,38.7406363442444,10,19,3906915001,"Travessa de São Domingos de Benfica, Mata de São Domingos de Benfica",PFM: Mata de São Domingos de Benfica,0, , ,5,aede34aa-382a-43b2-b86d-5efbb8ed9b41,783850.970703125,6334.61866340459
